Nome Escola,Contato,Rua,Bairro,Lote,"nm_bai,C,80",Longitude (X),Latitude(Y)
CMEI GOIÂNIA VIVA,   357371,RUA GV23,RESIDENCIAL GOIANIA VIVA,          0,Res Goi?ónia Viva,676027.0,8153167.0
EM DOM FERNANDO GOMES DOS SANTOS,   357371,AL PARQUE TAQUARAL,RESIDENCIAL GOIANIA VIVA,        464,Res Goi?ónia Viva,676171.0,8153192.0
EM BARBARA DE SOUZA MORAIS,   328425,AVE URUGUAIANA,JARDIM NOVO MUNDO,         42,Jd Novo Mundo,688633.0,8153918.0
CRECHE UNIÃO DAS PIONEIRAS DE GOIÂNIA,   320617,RUA BOGOTA,JARDIM NOVO MUNDO,        700,Jd Novo Mundo,690446.0,8156270.0
CRECHE CASA DO CAMINHO,39960072,RUA C152,BAIRRO JARDIM AMERICA,719,,683270.0,8151221.0
EM BOM JESUS,   320638,PCA WASHINGTON,JARDIM NOVO MUNDO,        339,Jd Novo Mundo,690291.0,8155789.0
CENTRO DE EDUCAÇÃO INFANTIL DO ABRIGO NOSSO LAR,   394552,RUA ANAPOLIS,JARDIM NOVO MUNDO,        231,Jd Novo Mundo,689038.0,8153838.0
CENTRO DE EDUCAÇÃO INFANTIL ESPIRITA VOVO MECA,   328981,RUA SANTA LUZIA,SETOR RIO FORMOSO,          0,S Rio Formoso,678111.0,8150745.0
EM RESIDENCIAL MONTE CARLO,   328920,RUA MC3,RESIDENCIAL MONTE CARLO,         46,Res Monte Carlo,677206.0,8149935.0
EM PROFESSOR DEUSHAYDES RODRIGUES DE OLIVEIRA,   328775,RUA CP26,LOTEAMENTO CELINA PARK,        125,Lot Celina Park,678786.0,8152295.0
EM LIONS CLUBE BANDEIRANTES,   329622,PCA DA BANDEIRA,BAIRRO GOIA,        200,Bro Goi?í,678136.0,8154282.0
CMEI CORA CORALINA,   329611,RUA BARAO DE MAUA,BAIRRO GOIA,          0,Bro Goi?í,677950.0,8154275.0
EM WATERLOO PRUDENTE,   329633,AVE FELIPE CAMARAO,BAIRRO GOIA,        774,Bro Goi?í,677714.0,8154513.0
CMEI VILA SANTA RITA - NAC,   329585,RUA FORMOSA,BAIRRO INDUSTRIAL MOOCA,        704,Bro Industrial Mooca,679480.0,8155388.0
CMEI MATEUS BARCELOS BARRETOS,   328905,AVE BARAO DO RIO BRANCO,JARDIM VILA BOA,        656,Jd Vila Boa,679302.0,8149576.0
EM PROF. PERCIVAL XAVIER REBELO,   328924,RUA B16,SETOR NOVO HORIZONTE,        101,S Novo Horizonte,679338.0,8150578.0
CEI - LAR FABIANO DE CRISTO,32971412,RUA 40,SETOR SANTOS DUMONT,762,,677683.0,8158653.0
CRECHE METODISTA,   328916,AL DAS PALMEIRAS,SETOR NOVO HORIZONTE,        278,S Novo Horizonte,679298.0,8151279.0
EM EVA VIEIRA DE ALMEIDA,   328755,RUA ROVIGO,VILA ALVORADA,        280,Vl Alvorada,680346.0,8152292.0
CMEI BAIRRO GOIÁ,   329614,AVE NIZIA FLORESTA,BAIRRO GOIA,          0,Bro Goi?í 2,678331.0,8154841.0
CENTRO DE EDUCACAO INFANTIL SEMENTES DE AMOR,   324187,RUA SC18,PARQUE SANTA CRUZ,         14,Prq Santa Cruz,689541.0,8149405.0
CMEI BEM ME QUER,   320365,AVE DESEMBARGADOR EMILIO F POVOA,VILA MEGALE,        700,Vl Megale,685569.0,8158062.0
EM SEBASTIÃO ARANTES,   328273,RUA CARAMURU,JARDIM DA LUZ,        150,Jd da Luz,687743.0,8149959.0
CENTRO DE EDUCACAO INFANTIL PALTI,   328214,RUA ALMIRANTE BARROSO,JARDIM DA LUZ,        520,Jd da Luz,687958.0,8149661.0
EM PROFESSORA  EDNA DE ROURE,   329174,RUA DO MERCADO,VILA IRANY,         89,S Campinas,682111.0,8157373.0
EM MARIA HELENA BATISTA BRETAS,   321028,RUA MARAJO,SETOR URIAS MAGALHAES,         85,S Urias Magalh?úes,684342.0,8159328.0
CMEI PROFESSORA DARLY,   353432,AVE SOLAR,SETOR URIAS MAGALHAES,          0,S Urias Magalh?úes,684213.0,8159670.0
